SampleName,Type
CRC0071LMX0B02204TUMR02000,LMX
CRC0269PRX0A01201TUMR01000,PRX
CRC0256PRX0A01201TUMR01000,PRX
CRC0468LMX0B03010TUMR05000,LMX
CRC0333LMX0B02201TUMR02000,LMX
CRC0481LMX0B02001TUMR01000,LMX
CRC0468LMX0B03012TUMR01000,LMX
CRC0435LMX0A03002TUMR05000,LMX
CRC0526LMX0A02001TUMR01000,LMX
CRC0306LMX0A02201TUMR01000,LMX
CRC0449LMX0A01001TUMR01000,LMX
CRC1729LMX0A02002TUMR01000,LMX
CRC0468LMX0B02001TUMR05000,LMX
CRC1441PRX0A01001TUMR01000,PRX
CRC0186LMX0A02201TUMR04000,LMX
CRC0180LMX0A02201TUMR02000,LMX
CRC0574LMX0A04011TUMR01000,LMX
CRC0596PRX0A02001TUMR05000,PRX
CRC0537LMX0B02001TUMR02000,LMX
CRC0356LMX0A02001TUMR01000,LMX
CRC1563LMX0A02001TUMR01000,LMX
CRC0481LMX0A03008TUMR01000,LMX
CRC0333LMX0A02202TUMR02000,LMX
CRC0178LMX0B02201TUMR02000,LMX
CRC0120LMX0A02204TUMR03000,LMX
CRC0356LMX0A03001TUMR05000,LMX
CRC0071LMX0A02204TUMR02000,LMX
CRC1182PRX0A02001TUMR01000,PRX
CRC0099LMX0A02204TUMR04000,LMX
CRC0018LMX0B02204TUMR14000,LMX
CRC0498LMX0B02001TUMR01000,LMX
CRC0029LMX0A02204TUMR05000,LMX
CRC0468LMX0B03006TUMR01000,LMX
CRC0571PRX0A02001TUMR01000,PRX
CRC0320PRX0B01201TUMR01000,PRX
CRC0554LMX0A02002TUMR01000,LMX
CRC0705LMX0A02001TUMR02000,LMX
CRC0609LMX0A02002TUMR01000,LMX
CRC1588LMX0B02003TUMR01000,LMX
CRC1961LMX0A02003TUMR01000,LMX
CRC1261LMX0A02002TUMR01000,LMX
CRC0223PRX0A01201TUMR05000,PRX
CRC0781LMX0B02004TUMR01000,LMX
CRC0152LMX0B02201TUMR04000,LMX
CRC1241LMX0B03003TUMR05000,LMX
CRC0281PRX0B01201TUMR01000,PRX
CRC0306LMX0B02201TUMR01000,LMX
CRC0448PRX0A01001TUMR01000,PRX
CRC0468LMX0A02002TUMR01000,LMX
CRC1516PRX0A01001TUMR01000,PRX
CRC1459PRX0A03012TUMR01000,PRX
CRC0053LMX0A02204TUMR02000,LMX
CRC0600LMX0B02003TUMR01000,LMX
CRC0348LMX0A02003TUMR02000,LMX
CRC0594LMX0A02001TUMR01000,LMX
CRC0505LMX0A02004TUMR02000,LMX
CRC0574LMX0A04001TUMR05000,LMX
CRC0151LMX0A02204TUMR05000,LMX
CRC0521LMX0A02001TUMR01000,LMX
CRC0116LMX0A02201TUMR05000,LMX
CRC0481LMX0A03007TUMR01000,LMX
CRC0404LMX0B02002TUMR04000,LMX
CRC0051LMX0A02201TUMR01000,LMX
CRC1241LMX0B03005TUMR05000,LMX
CRC0297LMX0A02201TUMR01000,LMX
CRC0574LMX0A02004TUMR02000,LMX
CRC0078LMX0B02204TUMR02000,LMX
CRC1251PRX0B02002TUMR01000,PRX
CRC0508LMX0A03005TUMR05000,LMX
CRC0527LMX0B02003TUMR02000,LMX
CRC0399LMX0A03004TUMR01000,LMX
CRC0131LMX0A02204TUMR05000,LMX
CRC0311PRX0A01201TUMR01000,PRX
CRC1381PRX0A01001TUMR01000,PRX
CRC0330LMX0A02201TUMR02000,LMX
CRC0135LMX0A02204TUMR02000,LMX
CRC1245LMX0A02001TUMR01000,LMX
CRC0128LMX0A02201TUMR03000,LMX
CRC0086LMX0A02204TUMR01000,LMX
CRC0144LMX0A02201TUMR02000,LMX
CRC0080LMX0B02204TUMR05000,LMX
CRC1750LMX0B01001TUMR01000,LMX
CRC0552LMX0A02001TUMR01000,LMX
CRC0468LMX0B03005TUMR05000,LMX
CRC1142PRX0B01001TUMR01000,PRX
CRC0050LMX0A02201TUMR01000,LMX
CRC0395PRX0B01201TUMR01000,PRX
CRC1334PRX0A01001TUMR01000,PRX
CRC0416LMX0A02001TUMR03000,LMX
CRC0019LMX0B02202TUMR02000,LMX
CRC0146LMX0B04023TUMR02000,LMX
CRC1722PRX0A01001TUMR01000,PRX
CRC1979LMX0A02001TUMR01000,LMX
CRC0468LMX0B03002TUMR05000,LMX
CRC1473LMX0B03003TUMR01000,LMX
CRC1164PRX0A02001TUMR01000,PRX
CRC0066LMX0A02204TUMR08000,LMX
CRC0618LMX0A02001TUMR01000,LMX
CRC0158LMX0A02201TUMR02000,LMX
CRC0274LMX0A01201TUMR01000,LMX
CRC1234PRX0A01001TUMR01000,PRX
CRC1900LMX0A01001TUMR01000,LMX
CRC0530LMX0A02001TUMR01000,LMX
CRC0357LMX0B02003TUMR01000,LMX
CRC0670LMX0A02002TUMR01000,LMX
CRC0356LMX0A02004TUMR02000,LMX
CRC0322LMX0A02202TUMR01000,LMX
CRC0691LMX0A02002TUMR02000,LMX
CRC0329LMX0A02201TUMR01000,LMX
CRC0484LMX0A02001TUMR02000,LMX
CRC0362LMX0B02204TUMR06000,LMX
