Human,Mice
POLM,Polm
SHB,Shb
CHD8,Chd8
BET1,Bet1
ZNF761,Zfp51
STC1,Stc1
FBXL14,Fbxl14
NDUFB10,Ndufb10
POLB,Polb
MSRB2,Msrb2
PAMR1,Pamr1
MROH8,Mroh8
MITF,Mitf
CKAP2L,Ckap2l
KCNH6,Kcnh6
FN1,Fn1
SRRD,Srrd
TAB3,Tab3
COL5A1,Col5a1
NARS2,Nars2
TCEA2,Tcea2
UBE2V2,Ube2v2
HTR1A,Htr1a
GLRA4,Glra4
SLC40A1,Slc40a1
VSTM2A,Vstm2a
SH3BGRL,Sh3bgrl
POLR2G,Polr2g
SIKE1,Sike1
CELA3B,Cela3b
PDZD8,Pdzd8
ULK3,Ulk3
EXOC3L1,Exoc3l
CCDC74A,Ccdc74a
OR9G4,Olfr1006
RPS9,Rps9
CADM1,Cadm1
DNAJA1,Dnaja1
TMEM143,Tmem143
BSG,Bsg
CASP3,Casp3
RNU6-1340P,Gm23761
MIR143,Mir143
ATAT1,Atat1
RNU2-16P,Gm25052
PTGDR2,Gpr44
PPP2R3C,Ppp2r3c
C11orf65,4930550C14Rik
SLCO6A1,Slco6b1
ARL10,Arl10
SEC31B,Sec31b
RAB23,Rab23
SIRT3,Sirt3
C9orf85,1110059E24Rik
PLEKHO1,Plekho1
C1QB,C1qb
GMNC,Gmnc
ERGIC3,Ergic3
FLT4,Flt4
RNU6-1066P,Gm22236
SLC12A7,Slc12a7
LIN52,Lin52
ENTPD6,Entpd6
PHF21B,Phf21b
PEX11A,Pex11a
ARPC4,Arpc4
DGKZ,Dgkz
MCM6,Mcm6
OLFM1,Olfm1
DHX35,Dhx35
DDX3X,Ddx3x
STAR,Star
CHEK2,Chek2
RNU6-587P,Gm25423
TMPO,Tmpo
FGL2,Fgl2
EIF5A,Eif5a
MPHOSPH10,Mphosph10
EEF1A1,Eef1a1
FSCN1,Fscn1
ADAMTS15,Adamts15
GJD3,Gjd3
HIPK4,Hipk4
RF02043,Gm27866
TAF1,Taf1
IKBKB,Ikbkb
RAPGEFL1,Rapgefl1
HAO1,Hao1
BRI3BP,Bri3bp
POMC,Pomc
ODF1,Odf1
LGI4,Lgi4
OR10H3,Olfr63
NKAP,Nkap
CENPS,Cenps
KCNJ2,Kcnj2
MAMDC2,Mamdc2
MRPL52,Mrpl52
KIF2B,Kif2b
TNC,Tnc
ELAC2,Elac2
RBBP8,Rbbp8
SH2D1A,Sh2d1a
GPR173,Gpr173
NEK11,Nek11
HNF1B,Hnf1b
EEF1AKMT3,Eef1akmt3
RIC1,Ric1
MT3,Mt3
INPP5B,Inpp5b
TFPT,Tfpt
CHRM5,Chrm5
KLHL6,Klhl6
TMEM97,Tmem97
FAM163B,Fam163b
C2orf80,D630023F18Rik
TBC1D22A,Tbc1d22a
DDIT3,Ddit3
PRSS56,Prss56
ADPRH,Adprh
ELMOD3,Elmod3
SLC5A5,Slc5a5
FAM109B,Fam109b
NAA20,Naa20
RNU6-1246P,Gm27297
DCP1B,Dcp1b
BCLAF1,Bclaf1
C2orf50,2410004P03Rik
SPSB1,Spsb1
CNPY1,Cnpy1
CLEC4F,Clec4f
SET,Set
IL11,Il11
LAD1,Lad1
TCEAL1,Tceal1
TLR8,Tlr8
MYO1F,Myo1f
CCP110,Ccp110
CIITA,Ciita
