"ensembl_gene_id"	"external_gene_name"	"mmusculus_homolog_ensembl_gene"	"mmusculus_homolog_associated_gene_name"	"mmusculus_homolog_perc_id"	"mmusculus_homolog_perc_id_r1"	"mmusculus_homolog_orthology_confidence"	"mmusculus_homolog_goc_score"	"Mean"
"28356"	"ENSG00000162929"	"KIAA1841"	"ENSMUSG00000042208"	"0610010F05Rik"	88.5794	88.5794	1	100	88.5794
"59076"	"ENSG00000270170"	"NCBP2-AS2"	"ENSMUSG00000107002"	"0610012G03Rik"	73.7374	76.8421	1	100	75.28975
"51680"	"ENSG00000168887"	"C2orf68"	"ENSMUSG00000058706"	"0610030E20Rik"	83.1325	83.1325	1	75	83.1325
"49638"	"ENSG00000162384"	"CZIB"	"ENSMUSG00000028608"	"0610037L13Rik"	93.75	76.5306	1	100	85.1403
"35645"	"ENSG00000154274"	"C4orf19"	"ENSMUSG00000060512"	"0610040J01Rik"	57.0064	57.1885	1	100	57.09745
"48677"	"ENSG00000248713"	"C4orf54"	"ENSMUSG00000090066"	"1110002E22Rik"	81.5951	81.9149	1	100	81.755
"64655"	"ENSG00000110696"	"C11orf58"	"ENSMUSG00000030663"	"1110004F10Rik"	95.082	96.1326	1	100	95.6073
"34443"	"ENSG00000171159"	"C9orf16"	"ENSMUSG00000039195"	"1110008P14Rik"	93.9759	93.9759	1	100	93.9759
"41967"	"ENSG00000164972"	"C9orf24"	"ENSMUSG00000028441"	"1110017D15Rik"	75.9542	76.5385	1	100	76.24635
"12691"	"ENSG00000137720"	"C11orf1"	"ENSMUSG00000037971"	"1110032A03Rik"	76	62.6374	1	100	69.3187
"19098"	"ENSG00000180044"	"C3orf80"	"ENSMUSG00000046999"	"1110032F04Rik"	91.498	91.498	1	100	91.498
"66560"	"ENSG00000182307"	"C8orf33"	"ENSMUSG00000063236"	"1110038F14Rik"	60.6987	62.6126	1	50	61.65565
"35984"	"ENSG00000149179"	"C11orf49"	"ENSMUSG00000040591"	"1110051M20Rik"	91.6914	93.3535	1	100	92.52245
"38865"	"ENSG00000155621"	"C9orf85"	"ENSMUSG00000035171"	"1110059E24Rik"	80.8917	81.9355	1	100	81.4136
"53834"	"ENSG00000163807"	"KIAA1143"	"ENSMUSG00000032551"	"1110059G10Rik"	87.6623	87.0968	1	100	87.37955
"26277"	"ENSG00000197982"	"C1orf122"	"ENSMUSG00000078570"	"1110065P20Rik"	91.8182	91.8182	1	100	91.8182
"47506"	"ENSG00000181744"	"DIPK2A"	"ENSMUSG00000045414"	"1190002N15Rik"	97.6744	97.6744	1	100	97.6744
"58583"	"ENSG00000204954"	"C12orf73"	"ENSMUSG00000063320"	"1190007I07Rik"	77.4648	82.0896	0	50	79.7772
"67930"	"ENSG00000235162"	"C12orf75"	"ENSMUSG00000087651"	"1500009L16Rik"	85.7143	85.7143	1	100	85.7143
"69099"	"ENSG00000119147"	"C2orf40"	"ENSMUSG00000026051"	"1500015O10Rik"	83.7838	83.7838	1	75	83.7838
"40242"	"ENSG00000270168"	"AC004233.2"	"ENSMUSG00000043747"	"1520401A03Rik"	48.8806	43.8127	0	75	46.34665
"17189"	"ENSG00000228300"	"C19orf24"	"ENSMUSG00000035595"	"1600002K03Rik"	50	61.1111	1	100	55.55555
"55224"	"ENSG00000185127"	"C6orf120"	"ENSMUSG00000050088"	"1600012H06Rik"	73.2984	75.6757	1	75	74.48705
